"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.67471826787665,0.97,0.056,0,"0","LRMDA"
0,5.60750627879376,0.991,0.083,0,"0","PLXDC2"
0,4.91616166057202,0.969,0.07,0,"0","SLC8A1"
0,6.40814975898016,0.908,0.031,0,"0","CSF3R"
0,4.94090025981038,0.939,0.073,0,"0","RBM47"
0,4.98595757935905,0.913,0.058,0,"0","IRAK3"
0,4.97070764473495,0.923,0.074,0,"0","DMXL2"
0,5.33903686015338,0.912,0.065,0,"0","LRRK2"
0,4.44822372385834,0.931,0.102,0,"0","GAB2"
0,4.21845548595451,0.897,0.089,0,"0","MCTP1"
0,5.56295229035297,0.949,0.146,0,"0","VCAN"
0,3.58722808993353,0.932,0.134,0,"0","TBXAS1"
0,5.26071543623508,0.87,0.074,0,"0","CD36"
0,4.15193568056087,0.966,0.17,0,"0","FCN1"
0,3.3707610092583,0.936,0.141,0,"0","MARCH1"
0,4.98821094242988,0.842,0.048,0,"0","TNFAIP2"
0,5.08182983536748,0.837,0.054,0,"0","TLR2"
0,4.68895038705959,0.957,0.175,0,"0","NAMPT"
0,3.71883851981371,0.905,0.124,0,"0","CYBB"
0,4.87327074054847,0.865,0.086,0,"0","AC020916.1"
0,2.96781327319157,0.991,0.213,0,"0","LYN"
0,4.34174455675105,0.86,0.087,0,"0","STX11"
0,3.86157284963345,0.848,0.078,0,"0","HCK"
0,4.66107907941519,0.822,0.055,0,"0","CLEC7A"
0,3.3393679782953,0.888,0.123,0,"0","SYK"
0,6.12338424440511,0.783,0.026,0,"0","CREB5"
0,3.72747086759484,0.874,0.119,0,"0","FAM49A"
0,4.5965556899687,0.803,0.052,0,"0","FGD4"
0,4.25392754961029,0.835,0.084,0,"0","GAS7"
0,5.2921248836668,0.822,0.075,0,"0","ACSL1"
0,3.38013935356425,0.862,0.117,0,"0","GRK3"
0,3.74909816096637,0.978,0.243,0,"0","JAK2"
0,6.03399275780059,0.762,0.028,0,"0","DYSF"
0,5.19021389917361,0.778,0.044,0,"0","SLC11A1"
0,5.58835099057662,0.763,0.032,0,"0","WDFY3"
0,3.85296099829938,0.817,0.089,0,"0","EVI5"
0,3.34827404693174,0.916,0.189,0,"0","PTPRE"
0,3.33729671919675,0.965,0.238,0,"0","TYMP"
0,3.24863194483659,0.988,0.264,0,"0","ZEB2"
0,3.83902653924031,0.819,0.098,0,"0","CPPED1"
0,3.55989276254839,0.86,0.14,0,"0","MAML3"
0,4.91067586882222,0.759,0.05,0,"0","KLF4"
0,4.18957841360617,0.772,0.067,0,"0","RAB31"
0,3.99413298033425,0.77,0.066,0,"0","SULF2"
0,3.20601144616933,0.858,0.156,0,"0","RNF130"
0,4.60335570614886,0.745,0.049,0,"0","MS4A6A"
0,3.8161037157569,0.853,0.159,0,"0","MEGF9"
0,4.53169872152688,0.743,0.051,0,"0","KIF13A"
0,3.42900983914444,0.895,0.21,0,"0","ADAMTSL4-AS1"
0,3.10422606284927,0.98,0.299,0,"0","LYST"
0,3.9914934956311,0.754,0.073,0,"0","KYNU"
0,3.06744724975762,0.939,0.259,0,"0","BACH1"
0,3.28327595030725,0.855,0.18,0,"0","MNDA"
0,4.65151257553974,0.714,0.046,0,"0","CLEC12A"
0,3.75764431600265,0.734,0.067,0,"0","DOCK5"
0,3.29735239921853,0.744,0.08,0,"0","ARHGAP24"
0,4.62484764317456,0.71,0.046,0,"0","TNS3"
0,4.99957884316521,0.696,0.032,0,"0","RTN1"
0,2.83652223750217,0.894,0.234,0,"0","TET2"
0,3.22436595199829,0.864,0.204,0,"0","PLCB1"
0,2.79274153773029,0.866,0.207,0,"0","C9orf72"
0,3.16838287463839,0.885,0.227,0,"0","RAB11FIP1"
0,3.53060474820451,0.739,0.083,0,"0","ALOX5"
0,2.66237197217871,0.929,0.277,0,"0","SBF2"
0,3.22660442042546,0.98,0.334,0,"0","DENND1A"
0,4.4035376417295,0.696,0.051,0,"0","ENTPD1"
0,2.87997349116808,0.791,0.147,0,"0","WARS"
0,3.06464843890235,0.79,0.149,0,"0","PSTPIP2"
0,2.23943658340624,0.77,0.13,0,"0","MEF2C"
