"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.40814975898016,0.908,0.031,0,"0","CSF3R"
0,6.12338424440511,0.783,0.026,0,"0","CREB5"
0,6.03399275780059,0.762,0.028,0,"0","DYSF"
0,6.40915382923051,0.541,0.01,0,"0","TREM1"
0,6.08164649605023,0.486,0.01,0,"0","LINC00937"
0,6.91706342536305,0.475,0.007,0,"0","FCAR"
0,5.97421746370907,0.458,0.012,0,"0","LPAR1"
0,7.25139856896875,0.438,0.005,0,"0","VCAN-AS1"
0,6.64302023981047,0.403,0.008,0,"0","FAM198B-AS1"
7.41551533864519e-294,6.25517296502341,0.296,0.007,2.71415276909753e-289,"0","SGMS2"
2.25395228286224e-269,2.17150031736905,0.892,0.408,8.24969075050408e-265,"1","FHIT"
6.37840812702273e-112,1.95518929150624,0.484,0.173,2.33456115857159e-107,"1","AK5"
9.85600817178125e-99,1.735066945902,0.568,0.263,3.60739755095366e-94,"1","PLCL1"
7.22507108558641e-94,2.47585601657175,0.277,0.064,2.64444826803548e-89,"1","ANKRD55"
8.92111055046242e-81,1.7558212010878,0.47,0.2,3.26521567257475e-76,"1","AC139720.1"
1.4523857147946e-61,1.70185791304029,0.389,0.163,5.31587695471973e-57,"1","TSHZ2"
3.33275168607236e-55,1.57601383161204,0.396,0.193,1.21982044461935e-50,"1","MAN1C1"
2.36455219595561e-49,2.05769637271496,0.262,0.099,8.65449749241713e-45,"1","LINC01891"
1.01822349192381e-48,1.6563960355393,0.368,0.181,3.72679980279034e-44,"1","SATB1-AS1"
3.92429505273082e-45,1.79007594004589,0.285,0.122,1.43633123225001e-40,"1","CHRM3-AS2"
1.36809859487014e-138,2.16040549570663,0.499,0.146,5.00737766708419e-134,"2","TSHZ2"
6.50554559360062e-98,1.66641920989,0.51,0.195,2.38109474271376e-93,"2","AC139720.1"
3.23234410327786e-64,1.40308432554495,0.524,0.27,1.18307026524073e-59,"2","GPRIN3"
5.12431926276079e-64,1.5869574549162,0.394,0.156,1.87555209336308e-59,"2","FAAH2"
2.10139971551258e-52,1.43046409818041,0.449,0.231,7.69133309874761e-48,"2","SESN3"
5.14515983162831e-51,1.63553030448683,0.347,0.149,1.88317994997428e-46,"2","DUSP16"
5.03560978548226e-49,1.99146024542588,0.263,0.096,1.84308353758436e-44,"2","MAF"
2.39557842031403e-42,1.3664385207773,0.333,0.148,8.76805657619138e-38,"2","ICOS"
3.033299059167e-35,1.43328050285999,0.262,0.112,1.11021778864572e-30,"2","AP3M2"
2.35568475382322e-24,1.39708524314746,0.253,0.127,8.62204176746836e-20,"2","DGKH"
7.3278782683367e-256,2.18734021321515,0.883,0.34,2.68207672499392e-251,"3","ITGB1"
1.05483657174902e-202,2.25624857733558,0.627,0.152,3.8608073362586e-198,"3","ADAM19"
2.37013241913588e-85,1.73948309470547,0.44,0.146,8.67492166727923e-81,"3","MFHAS1"
4.63694883440127e-81,1.72042199276361,0.438,0.15,1.69716964287921e-76,"3","GATA3"
1.22595812426202e-78,1.71974410275764,0.438,0.156,4.48712933061141e-74,"3","TRADD"
1.97146722814316e-78,1.73046843862328,0.364,0.108,7.21576720172678e-74,"3","EPHA4"
2.18568903459301e-78,1.78734727038859,0.356,0.103,7.99984043551388e-74,"3","SLAMF1"
7.56135184620877e-76,1.825584692765,0.326,0.091,2.76753038923087e-71,"3","MAF"
6.27216534275922e-53,1.76228943254795,0.25,0.073,2.2956752371033e-48,"3","PRDM1"
1.84026170359957e-52,1.85203247169211,0.266,0.083,6.73554186134477e-48,"3","EGLN3"
0,3.94113238291119,0.974,0.165,0,"4","CCL5"
0,4.40736642591283,0.632,0.058,0,"4","GZMH"
1.90983208812437e-298,3.48417584313819,0.626,0.08,6.99017642574401e-294,"4","PZP"
5.88648865849135e-291,3.32465349582509,0.695,0.112,2.15451371389442e-286,"4","A2M"
7.47354598782714e-275,3.9828081463652,0.51,0.053,2.73539256700461e-270,"4","TRGC2"
5.69165563294705e-252,3.78033805119552,0.426,0.035,2.08320287821495e-247,"4","FCRL6"
2.25084351096268e-163,3.35450748578232,0.357,0.043,8.23831233447449e-159,"4","LINC00612"
9.97327704090602e-148,3.36416879015599,0.327,0.04,3.65031912974201e-143,"4","A2M-AS1"
2.2559223309018e-127,3.50309503953288,0.297,0.039,8.25690132333367e-123,"4","GZMK"
4.545268482966e-124,3.31218742007122,0.258,0.028,1.66361371745039e-119,"4","DTHD1"
1.0684138321989e-276,3.0801443101947,0.74,0.131,3.91050146723118e-272,"5","CD8B"
2.03428824643058e-185,2.25429269158935,0.809,0.24,7.44569841076056e-181,"5","NELL2"
5.33178146814656e-175,3.53573116930328,0.391,0.047,1.95148533515632e-170,"5","NRCAM"
9.63501900621274e-156,2.44639820051337,0.592,0.135,3.52651330646392e-151,"5","CD8A"
